type,name,code,address,district,branch_name,open_date
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024027,"2, Bethanchowk Rural Municipality",Kavrepalanchok,DHUNGKHARKA,2018-08-21
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024028,"11, Belbari Municipality",Morang,LAXMIMARG,2018-09-05
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024029,"3, Miklajung Rural Municipality",Morang,TANDI,2018-09-17
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024030,"5, Shantinagar Rural Municipality",Dang,RANGAIJA,2018-11-01
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024031,"9, Bidur Municipality",Nuwakot,COLONY,2018-10-18
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029002,"4, Mahalaxmi Municipality",Lalitpur,Contact Office,2013-05-17
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026000,"5, Gaidakot Municipality",Nawalparasi East,Head Office,2012-08-07
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024032,"4, Harinagar Rural Municipality",Sunsari,HARINAGARA,2018-12-16
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024033,"8, Gadhimai Municipality",Rautahat,MALAHITOL,2018-12-16
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024034,"10, Tilottama Municipality",Rupandehi,KANCHHIBAZAR,2019-01-09
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024035,"2, Madhya Bindu Municipality",Nawalparasi East,KOLHUWA,2019-01-15
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024036,"7, Boudhimai Municipality",Rautahat,BANKUL,2019-03-15
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024037,"10, Mahagadhimai Municipality",Bara,GANJABHAWANIPUR,2019-03-31
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024038,"10, Malangawa Municipality",Sarlahi,MALANGAWA ,2019-04-03
Microfinance Institutions (Class D),"
                                            Civil Laghubitta Bittiya Sanstha Ltd.
                                        ",14024039,"10, Dhangadhimai Municipality",Siraha,ZEROMILE,2019-04-07
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029004,"2, Gadhi Rural Municipality",Sunsari,Aurabani,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029005,"1, Inaruwa Municipality",Sunsari,Inaruwa,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029006,"3, Ramdhuni Municipality",Sunsari,Pakali,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029007,"1, Koshi Rural Municipality",Sunsari,Laukahi,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029008,"2, Triyuga Municipality",Udayapur,Gaighat,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029009,"1, Saptakoshi Municipality",Saptari,Fattepur,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029010,"9, Hanumannagar Kankalini Municipality",Saptari,Hanumannagar,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029011,"9, Belaka Municipality",Udayapur,Rampur Thoksila,2013-05-17
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029012,"9, Surunga Municipality",Saptari,Madhupati ,2016-12-16
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029013,"8, Kanchanrup Municipality",Saptari,Rupnagar,2016-12-16
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029015,"3, Budhiganga Rural Municipality",Morang,Hatimuda,2013-05-17
